CONTENT,CLASS,content_lower,content_lower_rn,content_tokenized,content_filter,content_normalized,content_stopwords,content_stemm,content_clean
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1, once you have started reading do not stop. if you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,once you have started reading do not stop if you do not subscribe to me within one day you and you're entire family will die so if you want to stay alive subscribe right now,"['once', 'you', 'have', 'started', 'reading', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'you', ""'re"", 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['once', 'you', 'have', 'started', 'reading', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'you', ""'re"", 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['once', 'you', 'have', 'started', 'reading', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'you', 'are', 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']","['started', 'reading', 'stop', 'subscribe', 'within', 'one', 'day', 'entire', 'family', 'die', 'want', 'stay', 'alive', 'subscribe', 'right']","['start', 'read', 'stop', 'subscrib', 'within', 'one', 'day', 'entir', 'famili', 'die', 'want', 'stay', 'aliv', 'subscrib', 'right']","['start', 'read', 'stop', 'subscrib', 'within', 'one', 'day', 'entir', 'famili', 'die', 'want', 'stay', 'aliv', 'subscrib', 'right']"
https://twitter.com/GBphotographyGB﻿,1,https://twitter.com/gbphotographygb﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
subscribe like comment﻿,1,subscribe like comment﻿,subscribe like comment,"['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']","['subscrib', 'like', 'comment']","['subscrib', 'like', 'comment']"
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,please like :d https://premium.easypromosapp.com/voteme/19924/616375350﻿,please like d url,"['please', 'like', 'd', 'url']","['please', 'like', 'url']","['please', 'like', 'url']","['please', 'like', 'url']","['pleas', 'like', 'url']","['pleas', 'like', 'url']"
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1,"hello! do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? if you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... you can also check out what  we've got so far!﻿",hello do you like gaming art videos scientific experiments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we've just started but soon we hope we will be able to cover all of our expectations you can also check out what we've got so far,"['hello', 'do', 'you', 'like', 'gaming', 'art', 'videos', 'scientific', 'experiments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'we', ""'ve"", 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'expectations', 'you', 'can', 'also', 'check', 'out', 'what', 'we', ""'ve"", 'got', 'so', 'far']","['hello', 'do', 'you', 'like', 'gaming', 'art', 'videos', 'scientific', 'experiments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'we', ""'ve"", 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'expectations', 'you', 'can', 'also', 'check', 'out', 'what', 'we', ""'ve"", 'got', 'so', 'far']","['hello', 'do', 'you', 'like', 'gaming', 'art', 'video', 'scientific', 'experiments', 'tutorials', 'lyrics', 'video', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'we', 'have', 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'expectations', 'you', 'can', 'also', 'check', 'out', 'what', 'we', 'have', 'got', 'so', 'far']","['hello', 'like', 'gaming', 'art', 'video', 'scientific', 'experiments', 'tutorials', 'lyrics', 'video', 'much', 'much', 'please', 'check', 'channel', 'subscribe', 'started', 'soon', 'hope', 'able', 'cover', 'expectations', 'also', 'check', 'got', 'far']","['hello', 'like', 'game', 'art', 'video', 'scientif', 'experi', 'tutori', 'lyric', 'video', 'much', 'much', 'pleas', 'check', 'channel', 'subscrib', 'start', 'soon', 'hope', 'abl', 'cover', 'expect', 'also', 'check', 'got', 'far']","['hello', 'like', 'game', 'art', 'video', 'scientif', 'experi', 'tutori', 'lyric', 'video', 'much', 'much', 'pleas', 'check', 'channel', 'subscrib', 'start', 'soon', 'hope', 'abl', 'cover', 'expect', 'also', 'check', 'got', 'far']"
I'm only checking the views﻿,0,i'm only checking the views﻿,i'm only checking the views,"['i', ""'m"", 'only', 'checking', 'the', 'views']","['i', 'only', 'checking', 'the', 'views']","['i', 'only', 'checking', 'the', 'views']","['checking', 'views']","['check', 'view']","['check', 'view']"
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,http://www.ebay.com/itm/171183229277?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1,http://ubuntuone.com/40beuutvu2zkxk4utgpz8k﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,"we are an edm apparel company dedicated to bringing you music inspired  designs. our clothing is perfect for any rave or music festival. we have  neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  facebook or on instagraml for free giveaways news and more!! visit our site  at oncueapparel﻿",we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,"['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 't', 'shirts', 'v', 'necks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 'shirts', 'necks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['we', 'are', 'an', 'edm', 'apparel', 'company', 'dedicated', 'to', 'bringing', 'you', 'music', 'inspired', 'designs', 'our', 'clothing', 'is', 'perfect', 'for', 'any', 'rave', 'or', 'music', 'festival', 'we', 'have', 'neon', 'crop', 'tops', 'tank', 'tops', 'shirts', 'necks', 'and', 'accessories', 'follow', 'us', 'on', 'facebook', 'or', 'on', 'instagraml', 'for', 'free', 'giveaways', 'news', 'and', 'more', 'visit', 'our', 'site', 'at', 'oncueapparel']","['edm', 'apparel', 'company', 'dedicated', 'bringing', 'music', 'inspired', 'designs', 'clothing', 'perfect', 'rave', 'music', 'festival', 'neon', 'crop', 'tops', 'tank', 'tops', 'shirts', 'necks', 'accessories', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaways', 'news', 'visit', 'site', 'oncueapparel']","['edm', 'apparel', 'compani', 'dedic', 'bring', 'music', 'inspir', 'design', 'cloth', 'perfect', 'rave', 'music', 'festiv', 'neon', 'crop', 'top', 'tank', 'top', 'shirt', 'neck', 'accessori', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaway', 'news', 'visit', 'site', 'oncueapparel']","['edm', 'apparel', 'compani', 'dedic', 'bring', 'music', 'inspir', 'design', 'cloth', 'perfect', 'rave', 'music', 'festiv', 'neon', 'crop', 'top', 'tank', 'top', 'shirt', 'neck', 'accessori', 'follow', 'us', 'facebook', 'instagraml', 'free', 'giveaway', 'news', 'visit', 'site', 'oncueapparel']"
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,i think about 100 millions of the views come from people who only wanted to  check the views﻿,i think about numeric millions of the views come from people who only wanted to check the views,"['i', 'think', 'about', 'numeric', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['i', 'think', 'about', 'numeric', 'millions', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['i', 'think', 'about', 'numeric', 'million', 'of', 'the', 'views', 'come', 'from', 'people', 'who', 'only', 'wanted', 'to', 'check', 'the', 'views']","['think', 'numeric', 'million', 'views', 'come', 'people', 'wanted', 'check', 'views']","['think', 'numer', 'million', 'view', 'come', 'peopl', 'want', 'check', 'view']","['think', 'numer', 'million', 'view', 'come', 'peopl', 'want', 'check', 'view']"
subscribe to my channel people :D﻿,1,subscribe to my channel people :d﻿,subscribe to my channel people d,"['subscribe', 'to', 'my', 'channel', 'people', 'd']","['subscribe', 'to', 'my', 'channel', 'people']","['subscribe', 'to', 'my', 'channel', 'people']","['subscribe', 'channel', 'people']","['subscrib', 'channel', 'peopl']","['subscrib', 'channel', 'peopl']"
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1,show your auburn pride here: http://www.teespring.com/tigermeathoodie﻿,show your auburn pride here url,"['show', 'your', 'auburn', 'pride', 'here', 'url']","['show', 'your', 'auburn', 'pride', 'here', 'url']","['show', 'your', 'auburn', 'pride', 'here', 'url']","['show', 'auburn', 'pride', 'url']","['show', 'auburn', 'pride', 'url']","['show', 'auburn', 'pride', 'url']"
just checking the views﻿,0,just checking the views﻿,just checking the views,"['just', 'checking', 'the', 'views']","['just', 'checking', 'the', 'views']","['just', 'checking', 'the', 'views']","['checking', 'views']","['check', 'view']","['check', 'view']"
CHECK OUT MY CHANNEL,1,check out my channel,check out my channel,"['check', 'out', 'my', 'channel']","['check', 'out', 'my', 'channel']","['check', 'out', 'my', 'channel']","['check', 'channel']","['check', 'channel']","['check', 'channel']"
marketglory . com/strategygame/andrijamatf earn real money from game,1,marketglory . com/strategygame/andrijamatf earn real money from game,url strategygame andrijamatf earn real money from game,"['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'from', 'game']","['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'from', 'game']","['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'from', 'game']","['url', 'strategygame', 'andrijamatf', 'earn', 'real', 'money', 'game']","['url', 'strategygam', 'andrijamatf', 'earn', 'real', 'money', 'game']","['url', 'strategygam', 'andrijamatf', 'earn', 'real', 'money', 'game']"
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,hey guys! im a 12 yr old music producer. i make chiptunes and 8bit music.  it would be wonderful if you checked out some of my 8bit remixes! i even  have a gangnamstyle 8bit remix if you would like to check that out ;)  thanks!!,hey guys im a numeric yr old music producer i make chiptunes and numeric music it would be wonderful if you checked out some of my numeric remixes i even have a gangnamstyle numeric remix if you would like to check that out thanks ;),"['hey', 'guys', 'im', 'a', 'numeric', 'yr', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', 'numeric', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', 'numeric', 'remixes', 'i', 'even', 'have', 'a', 'gangnamstyle', 'numeric', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thanks', ';', ')']","['hey', 'guys', 'a', 'numeric', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', 'numeric', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', 'numeric', 'remixes', 'i', 'even', 'have', 'a', 'gangnamstyle', 'numeric', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thanks']","['hello', 'guys', 'a', 'numeric', 'old', 'music', 'producer', 'i', 'make', 'chiptunes', 'and', 'numeric', 'music', 'it', 'would', 'be', 'wonderful', 'if', 'you', 'checked', 'out', 'some', 'of', 'my', 'numeric', 'remixes', 'i', 'even', 'have', 'a', 'gangnamstyle', 'numeric', 'remix', 'if', 'you', 'would', 'like', 'to', 'check', 'that', 'out', 'thanks']","['hello', 'guys', 'numeric', 'old', 'music', 'producer', 'make', 'chiptunes', 'numeric', 'music', 'would', 'wonderful', 'checked', 'numeric', 'remixes', 'even', 'gangnamstyle', 'numeric', 'remix', 'would', 'like', 'check', 'thanks']","['hello', 'guy', 'numer', 'old', 'music', 'produc', 'make', 'chiptun', 'numer', 'music', 'would', 'wonder', 'check', 'numer', 'remix', 'even', 'gangnamstyl', 'numer', 'remix', 'would', 'like', 'check', 'thank']","['hello', 'guy', 'numer', 'old', 'music', 'produc', 'make', 'chiptun', 'numer', 'music', 'would', 'wonder', 'check', 'numer', 'remix', 'even', 'gangnamstyl', 'numer', 'remix', 'would', 'like', 'check', 'thank']"
Check me out! I'm kyle. I rap so yeah ﻿,1,check me out! i'm kyle. i rap so yeah ﻿,check me out i'm kyle i rap so yeah,"['check', 'me', 'out', 'i', ""'m"", 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'me', 'out', 'i', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'me', 'out', 'i', 'kyle', 'i', 'rap', 'so', 'yeah']","['check', 'kyle', 'rap', 'yeah']","['check', 'kyle', 'rap', 'yeah']","['check', 'kyle', 'rap', 'yeah']"
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,i dont even watch it anymore i just come here to check on 2 billion or not﻿,i dont even watch it anymore i just come here to check on numeric billion or not,"['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'numeric', 'billion', 'or', 'not']","['i', 'dont', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'numeric', 'billion', 'or', 'not']","['i', 'do not', 'even', 'watch', 'it', 'anymore', 'i', 'just', 'come', 'here', 'to', 'check', 'on', 'numeric', 'billion', 'or', 'not']","['do not', 'even', 'watch', 'anymore', 'come', 'check', 'numeric', 'billion']","['do not', 'even', 'watch', 'anymor', 'come', 'check', 'numer', 'billion']","['do not', 'even', 'watch', 'anymor', 'come', 'check', 'numer', 'billion']"
"Subscribe to me for free Android games, apps.. ﻿",1,"subscribe to me for free android games, apps.. ﻿",subscribe to me for free android games apps,"['subscribe', 'to', 'me', 'for', 'free', 'android', 'games', 'apps']","['subscribe', 'to', 'me', 'for', 'free', 'android', 'games', 'apps']","['subscribe', 'to', 'me', 'for', 'free', 'android', 'games', 'apps']","['subscribe', 'free', 'android', 'games', 'apps']","['subscrib', 'free', 'android', 'game', 'app']","['subscrib', 'free', 'android', 'game', 'app']"
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1,everyone please come check our newest song in memories of martin luther  king jr.﻿,everyone please come check our newest song in memories of martin luther king jr,"['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king', 'jr']","['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king']","['everyone', 'please', 'come', 'check', 'our', 'newest', 'song', 'in', 'memories', 'of', 'martin', 'luther', 'king']","['everyone', 'please', 'come', 'check', 'newest', 'song', 'memories', 'martin', 'luther', 'king']","['everyon', 'pleas', 'come', 'check', 'newest', 'song', 'memori', 'martin', 'luther', 'king']","['everyon', 'pleas', 'come', 'check', 'newest', 'song', 'memori', 'martin', 'luther', 'king']"
"Came here to check the views, goodbye.﻿",0,"came here to check the views, goodbye.﻿",came here to check the views goodbye,"['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['came', 'here', 'to', 'check', 'the', 'views', 'goodbye']","['came', 'check', 'views', 'goodbye']","['came', 'check', 'view', 'goodby']","['came', 'check', 'view', 'goodby']"
sub my channel for no reason -_-﻿,1,sub my channel for no reason -_-﻿,sub my channel for no reason,"['sub', 'my', 'channel', 'for', 'no', 'reason']","['sub', 'my', 'channel', 'for', 'no', 'reason']","['sub', 'my', 'channel', 'for', 'no', 'reason']","['sub', 'channel', 'reason']","['sub', 'channel', 'reason']","['sub', 'channel', 'reason']"
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1,"check out my dubstep song ""fireball"", made with fruity loops. i really took  time in it.  /watch?v=teloa6rio8o﻿",check out my dubstep song fireball made with fruity loops i really took time in it url,"['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']","['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']","['check', 'out', 'my', 'dubstep', 'song', 'fireball', 'made', 'with', 'fruity', 'loops', 'i', 'really', 'took', 'time', 'in', 'it', 'url']","['check', 'dubstep', 'song', 'fireball', 'made', 'fruity', 'loops', 'really', 'took', 'time', 'url']","['check', 'dubstep', 'song', 'firebal', 'made', 'fruiti', 'loop', 'realli', 'took', 'time', 'url']","['check', 'dubstep', 'song', 'firebal', 'made', 'fruiti', 'loop', 'realli', 'took', 'time', 'url']"
2 billion....Coming soon﻿,0,2 billion....coming soon﻿,numeric billion coming soon,"['numeric', 'billion', 'coming', 'soon']","['numeric', 'billion', 'coming', 'soon']","['numeric', 'billion', 'coming', 'soon']","['numeric', 'billion', 'coming', 'soon']","['numer', 'billion', 'come', 'soon']","['numer', 'billion', 'come', 'soon']"
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0,why dafuq is a korean song so big in the usa. does that mean we support  koreans? last time i checked they wanted to bomb us. ﻿,why dafuq is a korean song so big in the usa does that mean we support koreans last time i checked they wanted to bomb us,"['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['why', 'dafuq', 'is', 'a', 'korean', 'song', 'so', 'big', 'in', 'the', 'usa', 'does', 'that', 'mean', 'we', 'support', 'koreans', 'last', 'time', 'i', 'checked', 'they', 'wanted', 'to', 'bomb', 'us']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'koreans', 'last', 'time', 'checked', 'wanted', 'bomb', 'us']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'korean', 'last', 'time', 'check', 'want', 'bomb', 'us']","['dafuq', 'korean', 'song', 'big', 'usa', 'mean', 'support', 'korean', 'last', 'time', 'check', 'want', 'bomb', 'us']"
